interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
50,16,"[3308.0803617035053, 2227.0400194731583, 1563.5500902401322, 2664.722365775066, 6374.312287858666, 1145.2395403445964, 1612.6841520322869, 3068.4403312655163, 1225.3250880184453, 580.9669218910268, 1851.3384576196752, 637.7281015282955, 1237.8771935563511, 804.6726065235, 3949.038231668631, 1228.7117348817424]","[4029.0, 2421.4616718423313, 4029.0, 4029.0, 4029.0, 1968.1811733941227, 4029.0, 4029.0, 4029.0, 775.3885742601999, 4029.0, 832.1497538974686, 2060.8188266058773, 1802.480435820879, 4029.0, 2226.519564179121]","[(894.7841999999999, 1.598466666666667, 1.968333333333333), (234.18133333333338, 0.0016666666666666668, 0.0016), (67.1088, 0.11593333333333333, 0.09953333333333332), (455.7806, 0.011333333333333336, 0.005066666666666666), (1736.4414, 0.2492666666666667, 1.2721333333333333), (31.238400000000002, 10.958333333333334, 10.986266666666667), (383.0794, 15.210066666666668, 1.8525333333333331), (0.0, 0.0, 0.0), (328.5532, 0.0, 0.0), (230.6862666666667, 0.053333333333333344, 0.0358), (104.85293333333334, 0.21746666666666667, 0.18180000000000002), (44.0398, 0.0009333333333333332, 6.666666666666668e-05), (320.86379999999997, 0.6452, 0.0048), (93.8472, 0.0318, 0.0146), (1484.7831999999999, 0.21580000000000002, 0.8416666666666666), (318.06759999999997, 0.2734, 0.057466666666666666)]","[(1, 0.0013, 0.001966666666666667), (3, 0.0006666666666666666, 0.02163888888888889), (2, 0.0, 0.00095), (3, 0.0, 0.016805555555555553), (3, 0.00015, 0.2104), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0036999999999999997), (2, 0.0, 0.0), (3, 0.007816666666666666, 0.003527777777777778), (3, 0.0, 0.0011277777777777777), (1, 3.3333333333333335e-05, 0.05011111111111111), (1, 0.0, 0.000611111111111111), (1, 0.0, 0.0002222222222222222), (1, 0.00011666666666666667, 0.053427777777777775), (3, 0.0001, 0.17663333333333334), (1, 0.0, 0.0007888888888888889)]","[47, 63, 62, 66, 51, 67, 64, 60, 61, 57, 58, 53, 68, 65, 49, 59]","[1, 6, 10, 11, 13, 14, 9, 0, 4, 6, 7, 6, 14, 15, 5, 15]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
51,16,"[3144.901509780911, 1766.2731188925045, 1572.4507548904555, 2478.4930534701275, 3703.171900565511, 1218.6951376844836, 1499.1618721790824, 3021.6958648479776, 1254.9939763481898, 627.7113868707645, 0, 624.3725391926245, 1317.298517921692, 844.7392923255, 3566.579494397111, 1175.2894855390578]","[4029.0, 2103.1541039072067, 4029.0, 4029.0, 4029.0, 1965.1983098813957, 4029.0, 4029.0, 4029.0, 964.5923718854665, 4029.0, 961.2535242073266, 2063.8016901186043, 1849.2249033932212, 4029.0, 2179.775096606779]","[(727.012, 1.5444666666666669, 1.7056666666666669), (242.57, 0.0003333333333333333, 0.0004), (100.6632, 0.11566666666666668, 0.09933333333333332), (332.7478, 0.012333333333333335, 0.0056), (1493.1718, 0.1692, 0.7876000000000001), (30.75773333333333, 11.004733333333336, 11.030333333333335), (279.62, 9.749466666666667, 1.610333333333333), (0.0, 0.0, 0.0), (282.41606666666667, 0.0, 0.0), (290.10566666666676, 0.05273333333333334, 0.030666666666666672), (98.34026666666666, 0.21266666666666662, 0.17426666666666668), (28.66073333333333, 0.001066666666666667, 0.0), (301.98920000000004, 0.6321333333333333, 0.005666666666666668), (99.0902, 0.043, 0.015133333333333334), (1644.1666, 0.15380000000000002, 0.6252666666666667), (304.0866, 0.26866666666666666, 0.058866666666666664)]","[(1, 0.0019666666666666665, 0.05048333333333333), (3, 6.666666666666667e-05, 0.009744444444444444), (2, 0.0, 0.0009611111111111112), (3, 0.0, 0.021144444444444445), (3, 0.0001, 0.13415555555555556), (3, 0.0, 2.2222222222222223e-05), (2, 0.05768333333333333, 0.023244444444444446), (2, 0.0, 0.0), (3, 0.00675, 0.003411111111111111), (3, 0.0396, 0.01505), (1, 0.00011666666666666667, 0.04876111111111111), (1, 0.0, 0.0006333333333333333), (1, 0.0, 0.00025), (1, 0.0, 0.05496666666666667), (3, 5e-05, 0.16941111111111112), (1, 0.0, 0.000861111111111111)]","[47, 63, 62, 66, 51, 67, 64, 60, 61, 57, 58, 53, 68, 65, 49, 59]","[1, 6, 10, 11, 13, 14, 9, 0, 4, 6, 7, 6, 14, 15, 5, 15]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
52,15,"[0, 1993.317678598913, 1566.5169784569066, 2629.1197031285333, 3949.038231668631, 1191.9840113790701, 1863.10094582612, 2894.8180274289466, 0, 604.3391543808957, 0, 0, 1309.0825188494155, 814.6892779739999, 4726.09725342664, 1252.0839689691668]","[4029.0, 2470.4320676056436, 4029.0, 4029.0, 4029.0, 1955.9507462648273, 4029.0, 4029.0, 4029.0, 1081.453543387626, 0, 477.1143890067304, 2073.049253735173, 1795.8026545024165, 4029.0, 2233.1973454975832]","[(578.8134, 1.5288, 1.8861333333333334), (231.3854, 0.0005333333333333334, 0.0008), (22.3696, 0.11606666666666667, 0.09953333333333332), (377.487, 0.011333333333333336, 0.0054), (1484.7831999999999, 0.21580000000000002, 0.8416666666666666), (30.932599999999997, 11.007200000000001, 11.033333333333335), (338.34020000000004, 2.189, 3.0638666666666667), (0.0, 0.0, 0.0), (459.97486666666657, 0.0, 0.0), (377.48706666666664, 0.054, 0.037), 0, (35.651199999999996, 0.0009333333333333332, 0.00013333333333333334), (333.44653333333326, 0.6355333333333333, 0.0052), (91.7496, 0.042133333333333335, 0.014666666666666665), (1434.4516, 0.22206666666666663, 0.8742666666666667), (299.8922, 0.2914, 0.05526666666666666)]","[(1, 0.07088333333333334, 0.05034444444444444), (3, 6.666666666666667e-05, 0.011649999999999999), (2, 0.0, 0.0009388888888888888), (3, 0.0, 0.030616666666666664), (3, 0.0001, 0.17663333333333334), (3, 0.0, 2.2222222222222223e-05), (2, 1.1261166666666667, 0.002977777777777778), (2, 0.0, 0.0), (3, 0.0192, 0.013244444444444444), (3, 0.0, 0.0011888888888888889), 0, (1, 0.0, 0.0006333333333333333), (1, 0.0, 0.0002111111111111111), (1, 0.0, 0.05646666666666667), (3, 0.0001, 0.21292777777777777), (1, 0.0, 0.0008333333333333334)]","[47, 63, 62, 66, 51, 67, 64, 60, 61, 57, -1, 53, 68, 65, 49, 59]","[1, 6, 10, 11, 13, 14, 9, 0, 4, 6, -1, 6, 14, 15, 5, 15]","[True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True]"
53,14,"[0, 1889.8120704974624, 1563.5500902401322, 2505.879717044383, 3566.579494397111, 1198.6617929554236, 2634.3846707111265, 3151.912592725404, 454.0891471920266, 577.6280315353312, 1071.7839430047102, 0, 1207.75186362467, 918.1948829624997, 0, 1205.339500794318]","[0, 2670.5920194810656, 4029.0, 4029.0, 4029.0, 2009.9549646653768, 4029.0, 4029.0, 4029.0, 1358.4079805189344, 4029.0, 0, 2019.0450353346232, 1870.9276910840908, 4029.0, 2158.072308915909]","[0, (253.7549333333333, 0.0006666666666666666, 0.0008), (67.1088, 0.11606666666666667, 0.09946666666666669), (321.563, 0.0134, 0.007933333333333334), (1644.1666, 0.15380000000000002, 0.6252666666666667), (29.2284, 11.277066666666668, 11.304066666666667), (408.2452, 3.357266666666667, 2.6136666666666666), (0.0, 0.0, 0.0), (29.621666666666673, 4.1293999999999995, 4.1416), (251.65786666666673, 0.0528, 0.030533333333333336), (125.829, 0.0033333333333333335, 0.0012666666666666666), 0, (333.44653333333326, 0.7292666666666667, 0.004666666666666667), (88.0798, 0.027533333333333333, 0.014933333333333335), (1392.5086000000001, 0.1512, 0.6417333333333333), (294.2998, 0.28173333333333334, 0.05493333333333333)]","[0, (3, 0.00018333333333333334, 0.015666666666666666), (2, 0.0, 0.0009555555555555554), (3, 0.0, 0.017744444444444448), (3, 5e-05, 0.16941111111111112), (3, 0.0, 2.2222222222222223e-05), (2, 1.092625, 0.013255555555555555), (2, 0.0, 0.0), (3, 0.0, 1.6666666666666667e-05), (3, 0.0, 0.00105), (3, 0.0, 0.0006444444444444443), 0, (1, 0.0, 0.00021666666666666668), (1, 0.0, 0.05538333333333333), (3, 6.666666666666667e-05, 0.11822222222222224), (1, 0.0, 0.001)]","[-1, 63, 62, 66, 51, 67, 64, 60, 70, 57, 71, -1, 68, 65, 49, 59]","[-1, 6, 10, 11, 13, 14, 9, 2, 0, 6, 7, -1, 14, 15, 5, 15]","[False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True]"
54,14,"[2006.6731654957287, 2103.5010678682, 1563.5500902401322, 2519.573048831511, 4726.09725342664, 1178.6284482263632, 1779.6286812281753, 2938.223603388089, 1315.5229705416066, 564.2724701125491, 1068.445052216534, 0, 1246.093192628628, 794.6559350729999, 0, 1238.7284066334953]","[4029.0, 2784.1142988778256, 4029.0, 4029.0, 4029.0, 1980.7676277988676, 4029.0, 4029.0, 4029.0, 1244.8857011221744, 4029.0, 0, 2048.2323722011324, 1792.4637642197522, 0, 2236.536235780248]","[(306.18366666666674, 0.5942000000000001, 0.19193333333333337), (244.66713333333328, 0.0014666666666666665, 0.0012), (78.29360000000001, 0.11573333333333333, 0.09953333333333332), (343.9326, 0.013333333333333336, 0.0074666666666666675), (1434.4516, 0.22206666666666663, 0.8742666666666667), (27.96146666666667, 11.744666666666664, 11.770666666666664), (645.9222, 2.945, 2.129), (0.0, 0.0, 0.0), (29.53446666666667, 12.107333333333337, 12.139266666666664), (157.286, 0.053, 0.030733333333333335), (170.56820000000002, 0.0034, 0.0014666666666666665), 0, (415.23546666666675, 0.7115333333333334, 0.006666666666666668), (90.70139999999999, 0.0224, 0.014266666666666667), 0, (281.7169333333334, 0.28753333333333336, 0.054)]","[(3, 0.011550000000000001, 0.43049444444444446), (3, 0.00015, 0.019816666666666666), (2, 0.0, 0.0009166666666666666), (3, 0.0, 0.017083333333333332), (3, 0.0001, 0.21292777777777777), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0070888888888888885), (2, 0.0, 0.0), (3, 0.0, 1.6666666666666667e-05), (3, 0.0, 0.0012166666666666667), (3, 0.0, 0.0005666666666666666), 0, (1, 0.0, 0.0005666666666666666), (1, 0.0, 0.05278888888888889), 0, (1, 0.0, 0.00115)]","[69, 63, 62, 66, 51, 67, 64, 60, 70, 57, 71, -1, 68, 65, -1, 59]","[3, 6, 10, 11, 13, 14, 9, 2, 0, 6, 7, -1, 14, 15, -1, 15]","[True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True]"
55,16,"[1352.2506356501997, 2073.45105261294, 0, 2440.1517244661704, 3065.7406717796443, 1141.90064955642, 2090.1455055325287, 2958.2569461384624, 1135.2228679800667, 0, 1095.1561785219467, 1876.4565081617916, 1084.51187754052, 744.5725778205001, 3464.41286996805, 1255.4228595530844]","[4029.0, 3051.22552630647, 4029.0, 4029.0, 4029.0, 2043.19438600795, 4029.0, 4029.0, 4029.0, 977.7744736935299, 4029.0, 4029.0, 1985.80561399205, 1759.0748591337078, 4029.0, 2269.925140866292]","[(281.018, 0.42160000000000003, 0.13533333333333333), (254.4540666666667, 0.0026, 0.0088), (33.5544, 0.1158, 0.09953333333333332), (478.1502, 0.012199999999999999, 0.007066666666666666), (1392.5086000000001, 0.1512, 0.6417333333333333), (28.00533333333333, 10.849266666666667, 10.8736), (402.6528, 3.2084, 1.765466666666667), (0.0, 0.0, 0.0), (31.3258, 10.272666666666666, 10.300266666666666), (122.33333333333331, 0.0528, 0.030466666666666666), (170.56820000000002, 0.0033333333333333335, 0.0014), (258.64820000000003, 0.019533333333333337, 0.0016), (202.37446666666668, 0.6932, 0.0088), (98.0414, 0.018266666666666667, 0.014133333333333333), (168.47066666666663, 0.27493333333333336, 0.023333333333333327), (282.41613333333333, 0.3092, 0.0536)]","[(3, 1.666666666666667e-05, 0.2272388888888889), (3, 0.00011666666666666667, 0.017588888888888887), (2, 0.0, 0.000977777777777778), (3, 0.0009, 0.02215), (3, 6.666666666666667e-05, 0.11822222222222224), (3, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.005355555555555555), (2, 0.0, 0.0), (3, 0.0, 4.4444444444444447e-05), (3, 0.0, 0.0011166666666666666), (3, 0.0, 0.0008388888888888889), (3, 0.05115, 0.03694444444444444), (1, 0.0, 0.00025), (1, 0.0, 0.056383333333333334), (3, 0.2927833333333333, 0.026605555555555556), (1, 0.0, 0.0005888888888888889)]","[69, 63, 62, 66, 51, 67, 64, 60, 70, 57, 71, 72, 68, 65, 73, 59]","[3, 6, 10, 11, 13, 14, 9, 2, 0, 6, 7, 4, 14, 15, 5, 15]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
56,16,"[1409.0117734429248, 2293.817831151513, 1155.2559781834066, 2429.1970590364676, 5157.122179558036, 1148.5784311327734, 1232.0506254656602, 3018.356974389583, 1145.2395403445964, 744.572766635591, 1105.1728508864767, 1328.8784523992754, 1229.6611944840745, 794.6559350729999, 4442.116739200141, 1101.8338926928666]","[4029.0, 4029.0, 1377.5294595734695, 2651.4705404265305, 4029.0, 1973.9586183243496, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 2055.041381675651, 1860.9110211900665, 4029.0, 2168.088978809933]","[(255.852, 0.49213333333333326, 0.15953333333333333), (268.435, 0.0018666666666666666, 0.0016), (67.10839999999999, 0.00013333333333333334, 0.001), (461.373, 0.013266666666666668, 0.0067333333333333325), (1632.9818, 0.3732, 0.7381333333333333), (29.18493333333334, 11.238933333333332, 11.264533333333333), (444.5958, 2.369733333333333, 2.1395999999999997), (0.0, 0.0, 0.0), (31.238400000000002, 10.958333333333334, 10.986266666666667), (142.60586666666666, 0.0007333333333333332, 0.0006), (128.6252, 0.0032, 0.0014), (328.5534, 0.0005333333333333334, 0.0006), (105.9056, 0.6556666666666666, 0.0064), (84.9342, 0.027466666666666664, 0.014133333333333333), (313.1741333333334, 0.2986666666666667, 0.020266666666666665), (264.94006666666667, 0.23893333333333336, 0.04573333333333334)]","[(3, 8.333333333333333e-05, 0.28617777777777775), (3, 0.00013333333333333334, 0.023688888888888888), (1, 0.0, 0.0005722222222222222), (3, 0.0, 0.017055555555555553), (3, 0.09808333333333331, 0.2580777777777778), (3, 0.0, 4.4444444444444447e-05), (2, 0.0, 0.005061111111111111), (2, 0.0, 0.0), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.02883888888888889), (3, 0.0, 0.0005555555555555557), (3, 0.06125, 0.025472222222222222), (1, 0.0, 0.00020555555555555556), (1, 0.0, 0.05472777777777777), (3, 0.10841666666666666, 0.0281), (1, 0.0, 0.0006888888888888888)]","[69, 63, 74, 66, 51, 67, 64, 60, 70, 75, 71, 72, 68, 65, 73, 59]","[3, 6, 11, 11, 13, 14, 9, 2, 0, 1, 7, 4, 14, 15, 5, 15]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
57,16,"[1816.3564093671823, 2203.667785385733, 1151.9170880730503, 2420.981059964191, 6377.347674662409, 1181.9673390145404, 2534.217953193593, 3148.573702267009, 1218.6951376844836, 554.2559608139378, 1078.4617245810634, 2050.0788185255155, 1150.2398701187337, 841.4004018420001, 3143.9889128247596, 0]","[4029.0, 4029.0, 1379.9680140544297, 2649.0319859455703, 4029.0, 2030.3637344479034, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 1998.6362655520968, 2435.200200921, 4029.0, 1593.799799079]","[(226.49179999999998, 0.6, 0.19540000000000002), (269.134, 0.0016666666666666668, 0.0014666666666666665), (72.70093333333334, 6.666666666666668e-05, 0.001), (416.6338, 0.0116, 0.0067333333333333325), (1756.0146000000002, 0.15113333333333331, 0.6404), (29.79646666666667, 11.306333333333336, 11.331333333333335), (349.525, 5.339466666666667, 2.7218), (0.0, 0.0, 0.0), (30.75773333333333, 11.004733333333336, 11.030333333333335), (98.56566666666669, 0.0007333333333333332, 0.0002666666666666667), (134.2176, 0.0033333333333333335, 0.0014), (298.49406666666664, 0.0016666666666666668, 0.005466666666666667), (111.1484, 0.6268666666666667, 0.0044666666666666665), (101.7114, 0.03853333333333333, 0.015), (205.5204, 0.03793333333333333, 0.025266666666666666), (278.9208, 0.29560000000000003, 0.05173333333333334)]","[(3, 0.00016666666666666666, 0.37338333333333334), (3, 0.00031666666666666665, 0.026144444444444446), (1, 0.0, 0.0005666666666666666), (3, 0.0, 0.024077777777777778), (3, 0.07565000000000001, 0.43214444444444444), (3, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.01048888888888889), (2, 0.0, 0.0), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.0016666666666666668), (3, 0.0, 0.0007111111111111111), (3, 0.0008666666666666667, 0.016138888888888887), (1, 0.0, 0.00023333333333333333), (1, 0.0, 0.05628888888888889), (3, 0.00125, 0.027633333333333336), (1, 0.0, 0.0006055555555555556)]","[69, 63, 74, 66, 51, 67, 64, 60, 70, 75, 71, 72, 68, 65, 73, 59]","[3, 6, 11, 11, 13, 14, 9, 2, 0, 1, 7, 4, 14, 15, 5, 15]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
58,15,"[2230.3788262082307, 2664.4346859663865, 1158.5948682937635, 2366.2077328156797, 4197.939949575493, 1178.6284482263632, 5161.924842736884, 3425.7016103138403, 1191.9840113790701, 597.6615481065954, 0, 1896.4898516652977, 733.962583790049, 0, 3601.346184986549, 0]","[4029.0, 4029.0, 1410.6935677390418, 2618.306432260958, 4029.0, 2236.832932218157, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 1792.167067781843, 4029.0, 4029.0, 0]","[(209.7148, 0.7276, 0.23566666666666664), (369.09826666666675, 0.0032, 0.0020666666666666667), (75.49719999999999, 0.0004, 0.0014666666666666665), (402.6528, 0.011733333333333332, 0.0074666666666666675), (1834.3084, 0.274, 0.7126), (29.66546666666667, 11.591533333333333, 11.616), (553.6476, 10.710466666666667, 4.053266666666667), (0.0, 0.0, 0.0), (30.932599999999997, 11.007200000000001, 11.033333333333335), (121.6344, 0.0005333333333333334, 0.0002), (268.4352, 0.0032666666666666664, 0.0013333333333333333), (294.3, 0.001066666666666667, 0.005466666666666667), (80.73986666666669, 0.6493333333333333, 0.004200000000000001), (99.0898, 0.018866666666666667, 0.014133333333333333), (130.0228, 0.042466666666666666, 0.027733333333333336), 0]","[(3, 0.00021666666666666668, 0.5190777777777777), (3, 0.2675166666666666, 0.1220111111111111), (1, 0.0, 0.0005499999999999999), (3, 1.666666666666667e-05, 0.02868888888888889), (3, 5e-05, 0.20435555555555557), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.008927777777777778), (2, 0.0, 0.0), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.0015388888888888887), (3, 0.0, 0.00065), (3, 0.0002, 0.014294444444444445), (1, 0.0, 0.0002222222222222222), (1, 0.022783333333333336, 0.053844444444444445), (3, 0.0008, 0.02777777777777778), 0]","[69, 63, 74, 66, 51, 67, 64, 60, 70, 75, 71, 72, 68, 65, 73, -1]","[3, 6, 11, 11, 13, 14, 9, 2, 0, 1, 7, 4, 14, 15, 5, -1]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
59,16,"[1318.8617310662446, 2310.5122840711024, 1151.9170880730503, 2826.303680863173, 7242.4329137289415, 1005.0061272411768, 3255.4183193198332, 3442.3960626058183, 0, 0, 1876.4565081617916, 2227.0400194731583, 928.4078951672633, 884.1326637750533, 3261.75156374067, 628.9803113908888]","[4029.0, 2855.265986340107, 1177.3067036049385, 2851.693296395061, 4029.0, 2052.7991160369565, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 1976.200883963043, 4029.0, 4029.0, 1173.7340136598932]","[(255.852, 0.40273333333333333, 0.13053333333333333), (364.904, 0.0027333333333333333, 0.0014666666666666665), (75.49719999999999, 0.0003333333333333333, 0.0014), (363.506, 0.0166, 0.009666666666666665), (1937.767933333333, 0.2582, 0.7142000000000001), (30.01513333333334, 8.723066666666668, 8.7436), (503.316, 17.2942, 4.714533333333334), (0.0, 0.0, 0.0), (29.2284, 11.277066666666668, 11.304066666666667), (125.82866666666669, 0.0007333333333333332, 0.0002666666666666667), (258.64820000000003, 0.019533333333333337, 0.0016), (234.18133333333338, 0.0016666666666666668, 0.0016), (90.177, 0.6436666666666666, 0.004533333333333333), (128.62506666666664, 0.00046666666666666666, 0.0014), (110.44946666666667, 0.04046666666666667, 0.026666666666666672), (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334)]","[(3, 5e-05, 0.20164999999999994), (3, 0.0012833333333333332, 0.025400000000000002), (1, 0.0, 0.0005611111111111111), (3, 0.0, 0.017905555555555557), (3, 0.17391666666666664, 0.4805555555555557), (3, 0.0, 2.7777777777777776e-05), (2, 2.327875, 0.009094444444444445), (2, 0.0, 0.0), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.00165), (3, 0.05115, 0.03694444444444444), (3, 0.0006666666666666666, 0.02163888888888889), (1, 0.0, 0.0002222222222222222), (2, 0.0705, 0.025599999999999998), (3, 0.00011666666666666667, 0.02971666666666666), (2, 0.0037166666666666667, 0.0028777777777777777)]","[69, 63, 74, 66, 51, 67, 64, 60, 70, 75, 76, 72, 68, 77, 73, 78]","[3, 6, 11, 11, 13, 14, 9, 2, 0, 1, 7, 4, 14, 15, 5, 6]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
60,16,"[1425.7062257349019, 2560.9290778649356, 1168.6115386248337, 2823.565014505748, 3861.0120143601066, 1215.3562468963066, 0, 3475.784967189774, 1364.7688631682443, 1364.7688631682443, 1328.8784523992754, 1766.2731188925045, 1174.8878673355634, 845.5631180399, 3502.7541981732297, 634.9140879134446]","[4029.0, 2977.5074949757454, 1187.0232620595427, 2841.976737940457, 4029.0, 1306.6852544296019, 4029.0, 4029.0, 4029.0, 1456.0978707015395, 4029.0, 4029.0, 1266.2168748688587, 4029.0, 4029.0, 1051.4925050242546]","[(213.9092, 0.46873333333333334, 0.15180000000000002), (271.9302, 0.0026666666666666666, 0.0020666666666666667), (77.5942, 0.00046666666666666666, 0.0014), (422.2262, 0.03953333333333333, 0.018666666666666668), (2088.762666666667, 0.21493333333333337, 0.8076), (30.233466666666672, 11.099666666666664, 11.125866666666667), (570.4248, 42.85653333333333, 4.105333333333333), (0.0, 0.0, 0.0), (402.65259999999995, 0.0, 0.0), (402.65259999999995, 0.0, 0.0), (328.5534, 0.0005333333333333334, 0.0006), (242.57, 0.0003333333333333333, 0.0004), (88.07973333333334, 0.8984, 0.004200000000000001), (120.23626666666664, 0.0, 0.001066666666666667), (119.5372, 0.03373333333333334, 0.02686666666666667), (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334)]","[(3, 3.3333333333333335e-05, 0.2765777777777778), (3, 0.005633333333333334, 0.03143333333333334), (1, 0.0, 0.001627777777777778), (3, 0.0, 0.019144444444444443), (3, 6.666666666666667e-05, 0.18205555555555555), (3, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.005988888888888888), (2, 0.0, 0.0), (3, 0.1085, 0.004066666666666666), (3, 0.1085, 0.004066666666666666), (3, 0.06125, 0.025472222222222222), (3, 6.666666666666667e-05, 0.009744444444444444), (1, 0.0, 0.00032777777777777775), (2, 1.666666666666667e-05, 0.0006111111111111112), (3, 0.0013666666666666669, 0.04000555555555556), (2, 0.0004, 0.0023666666666666667)]","[69, 63, 74, 66, 51, 67, 64, 60, 79, 80, 76, 72, 68, 77, 73, 78]","[3, 6, 11, 11, 13, 14, 9, 2, 0, 14, 7, 4, 14, 15, 5, 6]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
61,16,"[2036.723179621289, 2520.8623908579216, 1165.2726485144767, 2689.3703629918955, 4753.41573466032, 1025.0394719702365, 731.2170323801198, 3732.8795324862313, 1691.1266347954333, 1691.1266347954333, 2050.0788185255155, 1993.317678598913, 1366.594512355352, 809.96046043822, 2935.85027399664, 557.7749931202221]","[4029.0, 2996.04369886885, 1252.4511427612906, 2776.5488572387094, 4029.0, 1007.1192655965626, 4029.0, 4029.0, 4029.0, 1673.2064284217595, 4029.0, 4029.0, 1348.6743059816781, 4029.0, 4029.0, 1032.9563011311502]","[(212.51093333333333, 0.6914, 0.224), (274.72646666666674, 0.0041333333333333335, 0.009866666666666668), (69.2056, 0.00046666666666666666, 0.0013333333333333333), (433.411, 0.0188, 0.012333333333333335), (1599.4273999999998, 0.17526666666666668, 1.018), (28.354599999999998, 8.9748, 8.996333333333334), (178.9568, 0.0019333333333333331, 0.0014666666666666665), (0.0, 0.0, 0.0), (339.738, 0.0, 0.0), (339.738, 0.0, 0.0), (298.49406666666664, 0.0016666666666666668, 0.005466666666666667), (231.3854, 0.0005333333333333334, 0.0008), (108.00293333333333, 1.1823333333333332, 0.0031333333333333335), (72.7008, 6.666666666666668e-05, 0.0015333333333333334), (105.55626666666666, 0.03646666666666667, 0.024466666666666664), (288.00833333333327, 0.0011333333333333332, 0.0014)]","[(3, 0.0002333333333333333, 0.49188333333333323), (3, 0.0009833333333333335, 0.03336666666666666), (1, 0.0, 0.0005499999999999999), (3, 0.0, 0.02216111111111111), (3, 0.0005166666666666667, 0.18142777777777777), (3, 0.0, 2.2222222222222223e-05), (1, 0.36411666666666676, 0.01315), (2, 0.0, 0.0), (3, 0.2122, 0.00935), (3, 0.2122, 0.00935), (3, 0.0008666666666666667, 0.016138888888888887), (3, 6.666666666666667e-05, 0.011649999999999999), (1, 0.0, 0.00023333333333333333), (2, 0.0, 0.0005666666666666668), (3, 0.0, 0.024422222222222224), (2, 0.00026666666666666673, 0.002455555555555556)]","[69, 63, 74, 66, 51, 67, 81, 60, 79, 80, 76, 72, 68, 77, 73, 78]","[3, 6, 11, 11, 13, 14, 8, 2, 0, 14, 7, 4, 14, 15, 5, 6]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
