cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5,cpu_6,ram_6,disk_6,cpu_7,ram_7,disk_7,cpu_8,ram_8,disk_8,cpu_9,ram_9,disk_9,cpu_10,ram_10,disk_10,cpu_11,ram_11,disk_11,cpu_12,ram_12,disk_12,cpu_13,ram_13,disk_13,cpu_14,ram_14,disk_14,cpu_15,ram_15,disk_15
100.0,434.80906666666664,3.0,100.0,367.6122,4.0,100.0,212.51093333333333,3.0,0.0,0.0,0.0,100.0,105.55626666666666,3.0,100.0,128.62506666666664,2.0,100.0,0.0,2.0,100.0,298.49406666666664,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,269.83293333333336,4.0,100.0,98.34026666666666,1.0,100.0,125.0422,1.0,100.0,545.259,1.0,100.0,100.444,4.0
100.0,348.1266,3.0,100.0,325.16679999999997,4.0,100.0,190.14146666666667,3.0,0.0,0.0,0.0,100.0,111.8476,3.0,100.0,120.23626666666664,2.0,100.0,0.0,2.0,100.0,294.3,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,65.71033333333331,1.0,100.0,127.06666666666666,2.0,100.0,93.78139999999999,1.0,100.0,738.1968,1.0,100.0,113.24533333333333,4.0
100.0,230.686,3.0,100.0,358.6078666666666,4.0,100.0,198.53,3.0,0.0,0.0,0.0,100.0,115.3428,3.0,100.0,72.7008,2.0,100.0,0.0,2.0,100.0,234.18133333333338,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,40.54486666666667,1.0,100.0,149.07146666666662,2.0,100.0,104.85293333333334,1.0,100.0,564.8324,1.0,100.0,112.02213333333333,4.0
100.0,331.3495333333333,3.0,100.0,343.00739999999996,4.0,100.0,194.33579999999998,3.0,0.0,0.0,0.0,100.0,111.1486,3.0,100.0,75.49706666666667,2.0,100.0,0.0,2.0,100.0,242.57,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,26.56353333333333,2.0,100.0,40.54486666666667,1.0,100.0,98.34026666666666,1.0,100.0,1015.0211999999999,1.0,100.0,108.22073333333333,4.0
100.0,478.1502,3.0,100.0,342.3740666666667,4.0,100.0,146.80033333333338,3.0,0.0,0.0,0.0,100.0,97.86666666666669,3.0,100.0,190.49033333333335,4.0,100.0,0.0,2.0,100.0,231.3854,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,40.54466666666666,2.0,100.0,26.56353333333333,1.0,0.0,0.0,0.0,100.0,1112.8874666666666,2.0,100.0,27.96146666666667,3.0
100.0,450.887,3.0,100.0,351.79613333333333,4.0,100.0,290.8046,3.0,0.0,0.0,0.0,100.0,98.5656,3.0,100.0,164.1011333333333,4.0,100.0,0.0,2.0,100.0,253.7549333333333,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,36.35026666666667,2.0,100.0,40.54466666666666,1.0,0.0,0.0,0.0,100.0,1052.7692000000002,2.0,100.0,28.00533333333333,3.0
100.0,434.1098,3.0,99.97517994539588,359.65906666666666,4.0,100.0,278.22166666666675,3.0,0.0,0.0,0.0,100.0,159.383,3.0,100.0,67.1088,3.0,100.0,0.0,2.0,100.0,244.66713333333328,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,36.35046666666667,2.0,100.0,36.35026666666667,1.0,0.0,0.0,0.0,100.0,1123.3729333333333,3.0,100.0,29.18493333333334,3.0
100.0,243.2694,3.0,100.0,496.0942666666667,4.0,100.0,392.8656,3.0,0.0,0.0,0.0,100.0,234.88039999999998,3.0,100.0,47.5354,3.0,100.0,0.0,2.0,100.0,254.4540666666667,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,71.3028,2.0,100.0,36.35046666666667,1.0,0.0,0.0,0.0,100.0,1468.0050666666666,3.0,100.0,29.79646666666667,3.0
100.0,473.9556,1.0,99.97517994539588,478.8746666666667,4.0,100.0,432.01279999999997,3.0,100.0,128.62506666666664,2.0,100.0,221.59853333333334,3.0,100.0,72.7012,3.0,100.0,0.0,2.0,100.0,268.435,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,46.137,2.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,1282.757,3.0,0.0,0.0,0.0
100.0,384.4776,1.0,99.97517994539588,386.55213333333336,4.0,100.0,339.7382,3.0,100.0,120.23626666666664,2.0,100.0,117.44013333333332,3.0,100.0,33.5544,3.0,100.0,0.0,2.0,100.0,269.134,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,58.719800000000006,2.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,1605.7177333333334,3.0,0.0,0.0,0.0
